,ItemNumber FG,Work Order,Cause,ItemNumber INT,Rejected Pounds,Process Date,Run
166,50000673,WO21002138,Finished good not in breakout,0,75600.0,2021-03-27,1
167,50000629,WO21002140,Finished good not in breakout,0,64800.0,2021-03-27,1
168,50000680,WO21002141,Finished good not in breakout,0,39999.96,2021-03-27,1
169,50000683,WO21002142,Finished good not in breakout,0,7000.0,2021-03-27,1
170,50000684,WO21002143,Finished good not in breakout,0,64680.0,2021-03-27,1
171,50000682,WO21002144,Finished good not in breakout,0,39999.96,2021-03-27,1
172,50000692,WO21002146,Finished good not in breakout,0,119000.0,2021-03-27,1
173,50000690,WO21002147,Finished good not in breakout,0,32928.0,2021-03-27,1
174,50000687,WO21002148,Finished good not in breakout,0,60000.0,2021-03-27,1
175,50000688,WO21002149,Finished good not in breakout,0,39999.96,2021-03-27,1
176,50000686,WO21002150,Finished good not in breakout,0,39999.96,2021-03-27,1
177,50000704,WO21002151,Finished good not in breakout,0,7000.0,2021-03-27,1
178,50000705,WO21002152,Finished good not in breakout,0,32928.0,2021-03-27,1
179,50000714,WO21002154,Finished good not in breakout,0,39600.0,2021-03-27,1
180,50000726,WO21002156,Finished good not in breakout,0,40600.0,2021-03-27,1
181,50000724,WO21002158,Finished good not in breakout,0,58800.0,2021-03-27,1
182,50000727,WO21002167,Finished good not in breakout,0,7000.0,2021-03-27,1
183,50000728,WO21002168,Finished good not in breakout,0,39999.96,2021-03-27,1
184,50000734,WO21002171,Finished good not in breakout,0,100000.08,2021-03-27,1
185,50000738,WO21002172,Finished good not in breakout,0,50400.0,2021-03-27,1
186,50000710,WO21002176,Finished good not in breakout,0,7000.0,2021-03-27,1
187,50000711,WO21002177,Finished good not in breakout,0,45600.0,2021-03-27,1
188,50000712,WO21002179,Finished good not in breakout,0,39600.0,2021-03-27,1
189,50000731,WO21002181,Finished good not in breakout,0,21000.0,2021-03-27,1
190,50000732,WO21002182,Finished good not in breakout,0,85200.0,2021-03-27,1
191,50000523,WO21002183,Finished good not in breakout,0,99600.0,2021-03-27,1
192,50000524,WO21002184,Finished good not in breakout,0,201600.0,2021-03-27,1
193,50000525,WO21002186,Finished good not in breakout,0,150000.0,2021-03-27,1
194,50000527,WO21002187,Finished good not in breakout,0,440400.0,2021-03-27,1
195,50000534,WO21002189,Finished good not in breakout,0,99840.0,2021-03-27,1
196,50000535,WO21002190,Finished good not in breakout,0,140140.0,2021-03-27,1
197,50000536,WO21002191,Finished good not in breakout,0,105600.0,2021-03-27,1
198,50000532,WO21002192,Finished good not in breakout,0,50666.0,2021-03-27,1
199,50000533,WO21002193,Finished good not in breakout,0,129600.0,2021-03-27,1
200,50008965,WO21002197,Finished good not in breakout,0,100800.0,2021-03-27,1
201,50000729,WO21002198,Finished good not in breakout,0,3000.0,2021-03-27,1
202,50000312,WO21002271,Finished good not in breakout,0,3780.0,2021-03-27,1
203,50000328,WO21002272,Finished good not in breakout,0,40000.0,2021-03-27,1
204,50008845,WO21002289,Finished good not in breakout,0,39999.990000000005,2021-03-27,1
205,50000465,WO21002343,Finished good not in breakout,0,70560.0,2021-03-27,1
206,50000516,WO21002344,Finished good not in breakout,0,74880.0,2021-03-27,1
207,50008946,WO21002345,Finished good not in breakout,0,180000.0,2021-03-27,1
208,50000466,WO21002346,Finished good not in breakout,0,244800.0,2021-03-27,1
209,50000464,WO21002347,Finished good not in breakout,0,9408.0,2021-03-27,1
210,50000530,WO21002353,Finished good not in breakout,0,99360.0,2021-03-27,1
211,50000528,WO21002355,Finished good not in breakout,0,40320.0,2021-03-27,1
212,50005296,WO21002356,Finished good not in breakout,0,3000.0,2021-03-27,1
213,50005297,WO21002357,Finished good not in breakout,0,17920.0,2021-03-27,1
214,50000626,WO21002359,Finished good not in breakout,0,80400.0,2021-03-27,1
215,50000620,WO21002361,Finished good not in breakout,0,100800.0,2021-03-27,1
216,50000737,WO21002364,Finished good not in breakout,0,4000.0,2021-03-27,1
217,50000738,WO21002365,Finished good not in breakout,0,36000.0,2021-03-27,1
218,50009021,WO21002368,Finished good not in breakout,0,6000.0,2021-03-27,1
219,50009022,WO21002369,Finished good not in breakout,0,50568.0,2021-03-27,1
220,50005286,WO21002371,Finished good not in breakout,0,39900.0,2021-03-27,1
221,50005285,WO21002373,Finished good not in breakout,0,35000.0,2021-03-27,1
222,50005284,WO21002374,Finished good not in breakout,0,5250.0,2021-03-27,1
223,50000523,WO21002375,Finished good not in breakout,0,120000.0,2021-03-27,1
224,50000524,WO21002376,Finished good not in breakout,0,274680.0,2021-03-27,1
225,50000525,WO21002378,Finished good not in breakout,0,119700.0,2021-03-27,1
226,50000527,WO21002379,Finished good not in breakout,0,350400.0,2021-03-27,1
227,50000534,WO21002381,Finished good not in breakout,0,74880.0,2021-03-27,1
228,50000535,WO21002382,Finished good not in breakout,0,119658.0,2021-03-27,1
229,50000536,WO21002383,Finished good not in breakout,0,100800.0,2021-03-27,1
230,50000531,WO21002384,Finished good not in breakout,0,70200.0,2021-03-27,1
231,50000532,WO21002385,Finished good not in breakout,0,60368.0,2021-03-27,1
232,50000533,WO21002386,Finished good not in breakout,0,200400.0,2021-03-27,1
233,50008965,WO21002390,Finished good not in breakout,0,100800.0,2021-03-27,1
234,50008966,WO21002392,Finished good not in breakout,0,170352.0,2021-03-27,1
235,50008967,WO21002394,Finished good not in breakout,0,181440.0,2021-03-27,1
236,50009035,WO21002396,Finished good not in breakout,0,199296.0,2021-03-27,1
237,50009036,WO21002398,Finished good not in breakout,0,139392.0,2021-03-27,1
238,50009037,WO21002399,Finished good not in breakout,0,520320.0,2021-03-27,1
239,50009038,WO21002401,Finished good not in breakout,0,322560.0,2021-03-27,1
240,50009039,WO21002402,Finished good not in breakout,0,1100400.0,2021-03-27,1
241,50009040,WO21002404,Finished good not in breakout,0,279936.0,2021-03-27,1
242,50009034,WO21002498,Finished good not in breakout,0,20000.0,2021-03-27,1
