,WorkOrderNumber,Facility,OrderStatus,ItemNumber,PlannedQuantity,CompletedQuantity,PlannedStart,PlannedEnd,PONumber,Description,CategoryCode,ItemWeight,Demand quantity (pounds),ItemFacility,BalesPerPallet,in_breakout,Model plant,_merge,is_able
3195,SON21008966,20005,1,50008173,1450.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH MMILLENNIA BEEF DOG 28.5#,FG,28.5,41325.0,20005,40.0,True,PC,both,False
3196,SON21008966,20005,1,50008983,4200.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH NB HNF BEEF DOG 24#,FG,24.0,100800.0,20005,40.0,True,PC,both,False
3197,SON21008966,20005,1,50008174,300.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH HUND N FLOCKEN DOG 6/4#,FG,24.0,7200.0,20005,36.0,True,PC,both,False
3198,SON21008966,20005,1,50008176,7000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH HUND N FLOCKEN DOG 28.5#,FG,28.5,199500.0,20005,40.0,True,PC,both,False
3202,SON21008966,20005,1,50008177,1150.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH WEE BIT BISON SB DOG 6/4#,FG,24.0,27600.0,20005,36.0,True,PC,both,False
3203,SON21008966,20005,1,50008178,5000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH WEE BIT BISON SB DOG 12#,FG,12.0,60000.0,20005,88.0,True,PC,both,False
3204,SON21008966,20005,1,50008180,1650.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF MGTY MINI CKN DOG 6/4#,FG,24.0,39600.0,20005,36.0,True,PC,both,False
3205,SON21008966,20005,1,50008181,6000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF MGTY MINI CKN DOG 11#,FG,11.0,66000.0,20005,96.0,True,PC,both,False
3206,SON21008966,20005,1,50008183,1200.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF MIGHT MINI LAMB K9 6/4#,FG,24.0,28800.0,20005,36.0,True,PC,both,False
3207,SON21008966,20005,1,50008184,2400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF MIGHTY MINI LAMB K9 11#,FG,11.0,26400.0,20005,96.0,True,PC,both,False
3208,SON21008966,20005,1,50008190,1700.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF MT MINI BEEF DOG 6/4#,FG,24.0,40800.0,20005,36.0,True,PC,both,False
3209,SON21008966,20005,1,50008192,300.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH BARKING ATM BEEF DOG 6/4#,FG,24.0,7200.0,20005,36.0,True,PC,both,False
3210,SON21008966,20005,1,50008194,5100.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH BARKING ATM BEEF DOG 24#,FG,24.0,122400.0,20005,40.0,True,PC,both,False
3211,SON21008966,20005,1,50008195,300.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH SUN GF LAMB DOG 6/4#,FG,24.0,7200.0,20005,36.0,True,PC,both,False
3212,SON21008966,20005,1,50008196,1400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH SUN GF LAMB DOG 24#,FG,24.0,33600.0,20005,40.0,True,PC,both,False
3213,SON21008966,20005,1,50008197,250.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH BUCK WILD VENISON DOG 6/4#,FG,24.0,6000.0,20005,36.0,True,PC,both,False
3214,SON21008966,20005,1,50008198,3600.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH BUCK WILD VENISON DOG 24#,FG,24.0,86400.0,20005,40.0,True,PC,both,False
3219,SON21008966,20005,1,50008199,200.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH BARK ATM DUCK DOG 6/4#,FG,24.0,4800.0,20005,36.0,True,PC,both,False
3222,SON21008966,20005,1,50008200,1600.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH BARK ATM DUCK DOG 22#,FG,22.0,35200.0,20005,40.0,True,PC,both,False
