ID,Description,Flour_Code,Type,Shape,Diameter_Category,Dry_Digest_Code,Dry_Digest_Description,Liq_Digest_Code,Liq_Digest_Description,TSS_Concat,DLD_Concat,Buyable,Minimum_Run_Size,Diameter
EM1099,MEAT MDM NVI BEEF F/V BLN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1100OS,MEAT RAY MDM KANGAROO GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1099OS,MEAT MDM NVI BEEF F/V BLN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1104,MEAT NVI MDM CKN F/V BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1105,MEAT NVI MDM SALM F/V BLN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1104OS,MEAT NVI MDM CKN F/V BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1105OS,MEAT NVI MDM SALM F/V BLN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1107OS,MEAT RAY MDM PORK GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20896,PNP NUT BLEND BRAZIL NUTS BULK,F5958,0,0,MAX 22.50,0,0,0,0,0 - 0 - MAX 22.50,0 - 0,FALSE,20000.0,0
20897,PNP NUT BLEND HAZELNUTS BULK,F5958,0,0,MAX 10.00,0,0,0,0,0 - 0 - MAX 10.00,0 - 0,FALSE,20000.0,0
20898,PNP NUT BLEND PEANUTS BULK,F5958,0,0,MAX 16.00,0,0,0,0,0 - 0 - MAX 16.00,0 - 0,FALSE,20000.0,0
20899,PNP NUT BLEND ALMONDS BULK,F5958,0,0,MAX 12.00,0,0,0,0,0 - 0 - MAX 12.00,0 - 0,FALSE,20000.0,0
20900,PNP VEGGIE BLEND CARROTS BULK,F7011,MEATLESS,DISC,MAX 12.50,0,0,0,0,MEATLESS - DISC - MAX 12.50,0 - 0,FALSE,20000.0,0
20901,PNP VEGGIE BLEND PEAS BULK,F7011,0,0,MAX 9.50,0,0,0,0,0 - 0 - MAX 9.50,0 - 0,FALSE,20000.0,0
20902,PNP VEGGIE BLEND CORN BULK,F7011,0,0,MAX 9.00,0,0,0,0,0 - 0 - MAX 9.00,0 - 0,FALSE,20000.0,0
20903,PNP VEGGIE BLEND GRN BEAN BULK,F7011,0,0,MAX 23.00,0,0,0,0,0 - 0 - MAX 23.00,0 - 0,FALSE,20000.0,0
M1099OS,MEAT MDM BEEF VEGGIE BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20783,CSI TOMA PRO HB CONTROL WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1082B,MEAT MDM TRKY EXPORT USE GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1108OS,MEAT TRKY SALM BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1076B,MEAT MDM CHKN DUCK BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1081B,MEAT MDM CHKN EXPORT USE GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
20917,GOP GF DUCK DOG BULK,F919,DUCK,DISC,MAX 10.25,0,0,0,0,DUCK - DISC - MAX 10.25,0 - 0,FALSE,20000.0,0
EM1065B,MEAT MDM CKN & TRKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
20450,ATI REGIME SMALL KIB BULK,F10968,MEATLESS,DISC,MAX 10.50,0,0,0,0,MEATLESS - DISC - MAX 10.50,0 - 0,FALSE,0.0,0
EM1105B,MEAT NVI MDM SALM F/V BLN GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1104B,MEAT NVI MDM CKN F/V BLEND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1112OS,MEAT MDM TUNA GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1113OS,MEAT MDM TUNA CKN BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
M1085OS,MEAT MDM BEEF GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1117,MEAT MDM LAMB VEGGIE BLND(NVI),NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1117B,MEAT MDM LAMB VEGGIE BLND(NVI),NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
EM1117OS,MEAT MDM LAMB VEGGIE BLND(NVI),NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20936,BBC BAS LID GF TRKY CAT BULK,F6874,POULTRY,CYLINDER,MAX 8.00,0,0,0,0,POULTRY - CYLINDER - MAX 8.00,0 - 0,FALSE,40000.0,0
W20936,BBC BAS LID GF TRKY CAT WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1041OS,MEAT MDM TROUT GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20948,NLE LAMB KB DOG BULK,F1152,LAMB,DISC,MAX 10.00,0,0,0,0,LAMB - DISC - MAX 10.00,0 - 0,FALSE,0.0,0
20949,NLE CHICKEN KB DOG BULK,F1153,POULTRY,DISC,MAX 10.00,0,0,0,0,POULTRY - DISC - MAX 10.00,0 - 0,FALSE,0.0,0
20950,NLE DUCK & SALMON KB DOG BULK,F1154,FISH,DISC,MAX 10.00,0,0,0,0,FISH - DISC - MAX 10.00,0 - 0,FALSE,0.0,0
EM1131OS,MEAT MDM NVI LAMB GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20952,ATI FLUX/STONE DOG BULK,F11057,MEATLESS,DISC,MAX 10.50,0,0,0,0,MEATLESS - DISC - MAX 10.50,0 - 0,FALSE,0.0,0
EM1134,MEAT BBC MDM TROUT GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
20953,ATI THERAPEUTIC SENIOR BULK,F11058,FISH,DISC,MAX 10.50,0,0,0,0,FISH - DISC - MAX 10.50,0 - 0,FALSE,20000.0,0
20954,RAY K9 LF KANGAROO MAINT BULK,F1075,KANGAROO,DISC,MAX 16.00,0,0,0,0,KANGAROO - DISC - MAX 16.00,0 - 0,FALSE,0.0,0
W20954,RAY K9 LF KANGAROO MAINT WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20955,RAY CANINE RABBIT MAINT BULK,F1071,RABBIT,DISC,MAX 14.75,0,0,0,0,RABBIT - DISC - MAX 14.75,0 - 0,FALSE,0.0,0
W20955,RAY CANINE RABBIT MAINT WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20956,RAY K9 ADLT HEALTH RSS BULK,F1074,BOAR/PORK,DISC,MAX 16.00,0,0,0,0,BOAR/PORK - DISC - MAX 16.00,0 - 0,FALSE,0.0,0
W20956,RAY K9 ADLT HEALTH RSS WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1134OS,MEAT BBC MDM TROUT GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1136OS,MEAT BBC MDM RABT CHKN BLN,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
M112OS,MEAT MDM TUNA GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
M1132OS,MEAT MDM VNSN APP CAR CRAN BLD,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
M1134OS,MEAT BBC MDM TROUT GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20957,RAY CANINE GROWTH/SENS GI BULK,F1073,POULTRY,DISC,MAX 16.00,0,0,0,0,POULTRY - DISC - MAX 16.00,0 - 0,FALSE,0.0,0
W20957,RAY CANINE GROWTH/SENS GI WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20958,RAY FELINE RABBIT MAINT BULK,F1069,RABBIT,DISC,MAX 11.50,0,0,0,0,RABBIT - DISC - MAX 11.50,0 - 0,FALSE,0.0,0
W20958,RAY FELINE RABBIT MAINT WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20959,RAY FELINE GROWTH/SENS GI BULK,F1076,POULTRY,DISC,MAX 11.50,0,0,0,0,POULTRY - DISC - MAX 11.50,0 - 0,FALSE,20000.0,0
W20959,RAY FELINE GROWTH/SENS GI WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20960,RAY FELINE AD HEALTH RSS BULK,F1072,BOAR/PORK,DISC,MAX 11.50,0,0,0,0,BOAR/PORK - DISC - MAX 11.50,0 - 0,FALSE,20000.0,0
W20960,RAY FELINE ADLT HEALTH RSS WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
