Item_Code,Diet_Code,Location,Work_Center,Date,Version,Account,Measure,Entity,Bulk_Code
101029,DIET23030,20,205720,2200-12-31,Actual,Rate,13140.0,CJ_Foods,NONE
101030,DIET22965,40,406020,2200-12-31,Actual,Rate,5820.0,CJ_Foods,NONE
101031,DIET22965,40,404920,2200-12-31,Actual,Rate,14160.0,CJ_Foods,NONE
101032,DIET22965,40,404920,2200-12-31,Actual,Rate,22560.0,CJ_Foods,NONE
101033,DIET22964,40,404920,2200-12-31,Actual,Rate,26880.0,CJ_Foods,NONE
101109,DIET23025,20,205720,2200-12-31,Actual,Rate,28800.0,CJ_Foods,NONE
101133,DIET22965,40,404920,2200-12-31,Actual,Rate,20880.0,CJ_Foods,NONE
1015,DIET22976,20,205720,2200-12-31,Actual,Rate,11700.0,CJ_Foods,NONE
102003,DIET23033,20,206020,2200-12-31,Actual,Rate,3180.0,CJ_Foods,NONE
102004,DIET23033,20,205520,2200-12-31,Actual,Rate,480.0,CJ_Foods,NONE
102004,DIET23033,20,205720,2200-12-31,Actual,Rate,840.0,CJ_Foods,NONE
102005,DIET23033,20,205520,2200-12-31,Actual,Rate,900.0,CJ_Foods,NONE
102005,DIET23033,20,205720,2200-12-31,Actual,Rate,11760.0,CJ_Foods,NONE
102007,DIET23098,20,206020,2200-12-31,Actual,Rate,10080.0,CJ_Foods,NONE
102008,DIET23098,20,205520,2200-12-31,Actual,Rate,1080.0,CJ_Foods,NONE
102008,DIET23098,20,205720,2200-12-31,Actual,Rate,2940.0,CJ_Foods,NONE
102009,DIET23098,20,205520,2200-12-31,Actual,Rate,11940.0,CJ_Foods,NONE
102009,DIET23098,20,205720,2200-12-31,Actual,Rate,6240.0,CJ_Foods,NONE
102010,DIET23000,20,206020,2200-12-31,Actual,Rate,10080.0,CJ_Foods,NONE
102010,DIET23000,20,206220,2200-12-31,Actual,Rate,1500.0,CJ_Foods,NONE
102011,DIET23000,20,205720,2200-12-31,Actual,Rate,4440.0,CJ_Foods,NONE
102011,DIET23000,20,206120,2200-12-31,Actual,Rate,300.0,CJ_Foods,NONE
102012,DIET23000,20,205720,2200-12-31,Actual,Rate,11880.0,CJ_Foods,NONE
102012,DIET23000,20,206120,2200-12-31,Actual,Rate,21000.0,CJ_Foods,NONE
102013,DIET22963,40,406020,2200-12-31,Actual,Rate,5220.0,CJ_Foods,NONE
102014,DIET22963,40,404920,2200-12-31,Actual,Rate,7980.0,CJ_Foods,NONE
102015,DIET22963,40,404920,2200-12-31,Actual,Rate,16560.0,CJ_Foods,NONE
1030,DIET22976,20,205720,2200-12-31,Actual,Rate,27000.0,CJ_Foods,NONE
1030,DIET22976,20,206120,2200-12-31,Actual,Rate,27000.0,CJ_Foods,NONE
1044CAN,DIET22976,20,205720,2200-12-31,Actual,Rate,31020.0,CJ_Foods,NONE
1044CAN,DIET22976,20,206120,2200-12-31,Actual,Rate,10740.0,CJ_Foods,NONE
10459,DIET22117,10,105820,2200-12-31,Actual,Rate,2640.0,CJ_Foods,NONE
10459,DIET22117,20,205820,2200-12-31,Actual,Rate,83760.0,CJ_Foods,NONE
10628,DIETW20089,10,103020,2200-12-31,Actual,Rate,420.0,CJ_Foods,NONE
10680FP,DIET20098,10,105820,2200-12-31,Actual,Rate,3420.0,CJ_Foods,NONE
108431,DIET22836,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
108431,DIET22836,20,205720,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
108431,DIET22836,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
108431,DIET22836,30,305520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
108431,DIET22836,40,404920,2200-12-31,Actual,Rate,8000.0,CJ_Foods,NONE
109110,DIET22289,10,104620,2200-12-31,Actual,Rate,1920.0,CJ_Foods,NONE
